hotel,price,score,avg review,reviews count
Hotel Lleó,S/ 514,"Puntuación: 8,2
8,2",Muy bien,6.510
Sonder Paseo de Gracia,S/ 881,"Puntuación: 8,4
8,4",Muy bien,2.405
Feelathome Casa Bertrand,S/ 538,"Puntuación: 8,7
8,7",Fabuloso,361
Sonder Casa Luz,S/ 743,"Puntuación: 8,3
8,3",Muy bien,2.861
Catalonia Sagrada Familia,S/ 325,"Puntuación: 8,2
8,2",Muy bien,9.326
Catalonia Park Güell,S/ 285,"Puntuación: 7,7
7,7",Bien,5.747
Catalonia Albeniz,S/ 366,"Puntuación: 8,5
8,5",Muy bien,2.763
Wilson Boutique Hotel,S/ 354,"Puntuación: 8,5
8,5",Muy bien,1.908
Hostal Lausanne,S/ 288,"Puntuación: 8,3
8,3",Muy bien,2.522
Hotel Alguer Camp Nou,S/ 277,"Puntuación: 8,2
8,2",Muy bien,3.652
Zenit Barcelona,S/ 319,"Puntuación: 8,2
8,2",Muy bien,1.589
Zenit Borrell,S/ 357,"Puntuación: 7,9
7,9",Bien,2.006
Hotel SB Diagonal Zero 4 Sup,S/ 356,"Puntuación: 8,1
8,1",Muy bien,6.296
Fashion House,S/ 285,"Puntuación: 8,5
8,5",Muy bien,996
BARCELONA GOTIC Guesthouse,S/ 219,"Puntuación: 7,8
7,8",Bien,2.169
Catalonia Plaza Catalunya,S/ 570,"Puntuación: 8,6
8,6",Fabuloso,5.404
Hotel Aneto,S/ 303,"Puntuación: 7,8
7,8",Bien,1.799
Hotel Inglés,S/ 237,"Puntuación: 7,6
7,6",Bien,2.924
Hotel SERHS Rivoli Rambla,S/ 487,"Puntuación: 8,3
8,3",Muy bien,1.738
Catalonia La Boquería,S/ 407,"Puntuación: 8,3
8,3",Muy bien,3.553
Private rooms,S/ 142,"Puntuación: 6,7
6,7",Puntuación,65
Praktik Rambla,S/ 488,"Puntuación: 8,4
8,4",Muy bien,2.192
Barceló Sants,S/ 651,"Puntuación: 8,6
8,6",Fabuloso,9.150
Hotel Ginebra,S/ 447,"Puntuación: 8,5
8,5",Muy bien,3.065
Hostal BESTPRICE Barcelona Stadium,S/ 228,"Puntuación: 8,5
8,5",Muy bien,1.961
Catalonia Castellnou,S/ 325,"Puntuación: 8,4
8,4",Muy bien,2.268
Catalonia Barcelona 505,S/ 366,"Puntuación: 8,3
8,3",Muy bien,3.090
Seventy Barcelona,S/ 659,"Puntuación: 9,2
9,2",Fantástico,2.958
Pensión Villanueva,S/ 244,"Puntuación: 7,2
7,2",Bien,2.265
Hotel Casa Bonay,S/ 624,"Puntuación: 9,0
9,0",Fantástico,848
Barcelona Century Hotel,S/ 430,"Puntuación: 8,4
8,4",Muy bien,4.225
Hostal Sans,S/ 366,"Puntuación: 8,0
8,0",Muy bien,4.093
Catalonia Gracia,S/ 488,"Puntuación: 8,5
8,5",Muy bien,2.816
Axel Hotel Barcelona - Adults Only,S/ 406,"Puntuación: 8,2
8,2",Muy bien,2.917
Acta Splendid,S/ 489,"Puntuación: 8,6
8,6",Fabuloso,3.075
Hostal Benidorm,S/ 350,"Puntuación: 8,2
8,2",Muy bien,4.679
Hotel 1898,S/ 1.025,"Puntuación: 8,9
8,9",Fabuloso,3.999
Hostal Balkonis,S/ 325,"Puntuación: 7,4
7,4",Bien,898
Hotel Oasis,S/ 395,"Puntuación: 8,6
8,6",Fabuloso,5.505
Hostal Ramos,S/ 321,"Puntuación: 7,7
7,7",Bien,3.768
Central and Basic Universitat for YOUNG HOSTEL,S/ 226,"Puntuación: 7,4
7,4",Bien,3.882
BYPILLOW Ramblas,S/ 407,"Puntuación: 8,2
8,2",Muy bien,1.106
Catalonia Ramblas 4* Sup,S/ 610,"Puntuación: 8,3
8,3",Muy bien,4.796
B Hotel,S/ 484,"Puntuación: 8,6
8,6",Fabuloso,3.295
Ecozentric,S/ 441,"Puntuación: 7,5
7,5",Bien,1.670
Silken Sant Gervasi,S/ 307,"Puntuación: 8,4
8,4",Muy bien,2.528
YOUTH HOSTEL - Central and Basic Drassanes,S/ 228,"Puntuación: 7,5
7,5",Bien,2.590
Hotel España Ramblas,S/ 586,"Puntuación: 8,3
8,3",Muy bien,861
Gaudi Hotel,S/ 515,"Puntuación: 8,2
8,2",Muy bien,7.080
Moxy Barcelona,S/ 549,"Puntuación: 7,8
7,8",Bien,652
Hotel Market,S/ 417,"Puntuación: 7,4
7,4",Bien,3.892
NH Barcelona Eixample,S/ 488,"Puntuación: 8,0
8,0",Muy bien,1.976
Abba Sants,S/ 493,"Puntuación: 8,3
8,3",Muy bien,2.760
Pol & Grace Hotel,S/ 340,"Puntuación: 8,4
8,4",Muy bien,2.664
Generator Barcelona,S/ 484,"Puntuación: 7,7
7,7",Bien,7.199
Hotel Condal,S/ 427,"Puntuación: 7,6
7,6",Bien,5.244
Hotel Monegal,S/ 374,"Puntuación: 7,3
7,3",Bien,4.382
Ramblas Hotel,S/ 393,"Puntuación: 7,3
7,3",Bien,3.361
Vincci Mae,S/ 403,"Puntuación: 8,5
8,5",Muy bien,2.718
Catalonia Rigoletto,S/ 407,"Puntuación: 8,4
8,4",Muy bien,2.190
Sunotel Club Central,S/ 467,"Puntuación: 8,1
8,1",Muy bien,1.423
Ciutat Vella,S/ 592,"Puntuación: 8,1
8,1",Muy bien,4.596
Catalonia Park Putxet,S/ 366,"Puntuación: 7,9
7,9",Bien,4.849
AC Hotel Sants by Marriott,S/ 651,"Puntuación: 8,2
8,2",Muy bien,1.335
H10 Port Vell 4* Sup,S/ 671,"Puntuación: 8,9
8,9",Fabuloso,1.783
"Holiday Inn Express Barcelona City 22@, an IHG Hotel",S/ 590,"Puntuación: 8,2
8,2",Muy bien,9.676
Ofelias Hotel 4Sup by Bondia Hotel Group,S/ 692,"Puntuación: 8,6
8,6",Fabuloso,2.146
Catalonia Portal de l'Angel,S/ 570,"Puntuación: 8,7
8,7",Fabuloso,3.164
Catalonia Roma,S/ 447,"Puntuación: 8,1
8,1",Muy bien,2.456
Hotel Brick Barcelona,S/ 439,"Puntuación: 8,8
8,8",Fabuloso,3.153
Acta Antibes,S/ 447,"Puntuación: 8,5
8,5",Muy bien,4.483
Sunotel Junior,S/ 352,"Puntuación: 7,4
7,4",Bien,538
Catalonia Atenas,S/ 447,"Puntuación: 8,2
8,2",Muy bien,8.337
Catalunya,S/ 487,"Puntuación: 8,1
8,1",Muy bien,3.178
El Avenida Palace,S/ 640,"Puntuación: 8,5
8,5",Muy bien,5.685
Som Nit Triomf,S/ 362,"Puntuación: 7,7
7,7",Bien,1.204
SM Hotel Sant Antoni,S/ 403,"Puntuación: 8,6
8,6",Fabuloso,3.123
Grand Hyatt Barcelona,S/ 1.094,"Puntuación: 8,7
8,7",Fabuloso,4.905
Room Mate Pau,S/ 671,"Puntuación: 9,2
9,2",Fantástico,4.103
Sercotel Caspe,S/ 443,"Puntuación: 8,4
8,4",Muy bien,7.211
Barcelona Princess,S/ 393,"Puntuación: 8,1
8,1",Muy bien,12.554
NH Collection Barcelona Podium,S/ 671,"Puntuación: 8,6
8,6",Fabuloso,3.015
Onix Liceo,S/ 513,"Puntuación: 8,3
8,3",Muy bien,3.003
Catalonia Gran Via BCN,S/ 570,"Puntuación: 8,7
8,7",Fabuloso,2.402
Catalonia Avinyo,S/ 447,"Puntuación: 8,5
8,5",Muy bien,4.472
Hostal Levante Barcelona,S/ 305,"Puntuación: 7,9
7,9",Bien,5.091
Catalonia Eixample 1864,S/ 610,"Puntuación: 8,4
8,4",Muy bien,4.381
1881 Barcelona Gran Rosellon Hotel,S/ 438,"Puntuación: 8,0
8,0",Muy bien,2.269
Catalonia Diagonal Centro,S/ 529,"Puntuación: 8,5
8,5",Muy bien,3.414
Park Hotel,S/ 504,"Puntuación: 8,4
8,4",Muy bien,3.586
Onix Rambla,S/ 573,"Puntuación: 8,4
8,4",Muy bien,2.578
Vincci Bit,S/ 339,"Puntuación: 8,4
8,4",Muy bien,6.412
Pension Casa De Barca,S/ 217,"Puntuación: 7,1
7,1",Bien,989
Olivia Balmes Hotel,S/ 676,"Puntuación: 9,1
9,1",Fantástico,2.254
Hotel Royal Passeig de Gracia,S/ 932,"Puntuación: 8,6
8,6",Fabuloso,3.389
Cram Hotel,S/ 570,"Puntuación: 8,3
8,3",Muy bien,3.578
Vincci Maritimo,S/ 359,"Puntuación: 8,3
8,3",Muy bien,5.092
Axel TWO Barcelona 4 Sup - Adults Only,S/ 448,"Puntuación: 8,3
8,3",Muy bien,2.809
Aparthotel Bcn Montjuic,S/ 443,"Puntuación: 8,3
8,3",Muy bien,4.101
Grums Hotel & Spa,S/ 495,"Puntuación: 8,4
8,4",Muy bien,3.730
H Regas Adults Only,S/ 366,"Puntuación: 7,4
7,4",Bien,3.499
Oriente Atiram,S/ 546,"Puntuación: 8,2
8,2",Muy bien,2.271
BUHO Boutique Rooms,S/ 449,"Puntuación: 8,2
8,2",Muy bien,879
Hostal Europa,S/ 256,"Puntuación: 7,5
7,5",Bien,6.182
Roma Reial,S/ 366,"Puntuación: 7,3
7,3",Bien,6.160
Hotel Soho,S/ 513,"Puntuación: 8,7
8,7",Fabuloso,2.169
Hotel Gótico,S/ 594,"Puntuación: 8,4
8,4",Muy bien,1.424
Casa Elliot by Bondia Hotel Group,S/ 1.054,"Puntuación: 8,8
8,8",Fabuloso,2.597
NH Sants Barcelona,S/ 578,"Puntuación: 8,5
8,5",Muy bien,2.926
Hotel Ramblas Internacional,S/ 439,"Puntuación: 7,2
7,2",Bien,2.369
La França Travellers Adults Only,S/ 321,"Puntuación: 7,9
7,9",Bien,3.742
The Mirror Barcelona Hotel,S/ 445,"Puntuación: 8,4
8,4",Muy bien,3.379
Onix Fira,S/ 452,"Puntuación: 7,7
7,7",Bien,4.170
Yomo Hostal BCN Port,S/ 362,"Puntuación: 7,8
7,8",Bien,1.961
The Corner Hotel,S/ 633,"Puntuación: 9,0
9,0",Fantástico,1.624
Acta BCN 40,S/ 500,"Puntuación: 8,4
8,4",Muy bien,3.061
Hostal Live Barcelona,S/ 437,"Puntuación: 8,4
8,4",Muy bien,1.452
Catalonia Barcelona Plaza,S/ 610,"Puntuación: 8,6
8,6",Fabuloso,3.068
Catalonia Born,S/ 529,"Puntuación: 8,7
8,7",Fabuloso,3.311
Hotel America Barcelona,S/ 521,"Puntuación: 8,6
8,6",Fabuloso,1.923
